pmid,source_cell,target_cell,factors,factor_type,species,culture_condition,confidence,paper_type,notes,source,evidence_sentence,year,title,is_duplicate,single_tf_flag,target_cell_raw,source_cell_raw,conversion_scope,duplicate_reason,preferred_pmid,duplicate_group_id,validation_recipe_valid,validation_source_cell_valid,validation_target_cell_valid,validation_factors_valid,validation_standalone_recipe,validation_duplicate_status,validation_error_category,validation_action,validation_notes,validation_needs_review,validation_known_issue,validation_resolution,single_tf_status,source_cell_std,target_cell_std,source_cell_broad,target_cell_broad,is_broad_duplicate,broad_duplicate_reason,broad_preferred_pmid,broad_duplicate_group_id,species_inference_method,factor_inference_method,factor_inference_rationale,scope_inference_method,scope_inference_rationale
37978100,somatic cell,induced pluripotent stem cell (iPSC),"GLIS1, OCT4, SOX2, KLF4","TF, TF, TF, TF",,,high,review,Review highlights GLIS1 as enhancer of reprogramming efficiency.,abstract,"Moreover, GLIS1 in combination with OCT4, SOX2, and KLF4 reprogramming factors resulted in an increase in reprogramming efficiency, giving rise to primarily bona fide iPSCs.",2024,"An Insight into the Role of GLIS1 in Embryonic Development, iPSC Generation, and Cancer.",False,False,induced pluripotent stem cell (iPSC),somatic cell,classical_reprogramming,,,,,,,,,,,,missing: species,True,,,,somatic cell,induced pluripotent stem cell (iPSC),somatic cell,induced pluripotent stem cell,False,,,,,,,,
37073151,somatic cell,induced pluripotent stem cell (iPSC),"KLF4, OCT4, MYC, SOX2","TF, TF, TF, TF","human, mouse",,high,research,Review of OSKM-mediated reprogramming to iPSCs.,abstract,"For that technological primary viewpoint reprogramming method, a cocktail of four transcription factors (TF) has required: Kruppel-like factor 4 (KLF4), four-octamer binding protein 34 (OCT3/4), MYC and SOX2 (together referred to as OSKM) and host cells.",2024,Transcriptional Factors Mediated Reprogramming to Pluripotency.,True,False,induced pluripotent stem cell (iPSC),somatic cell,classical_reprogramming,same_standardized_recipe,19898493,recipe_0002,,,,,,,,,,,,,,somatic cell,induced pluripotent stem cell (iPSC),somatic cell,induced pluripotent stem cell,True,same_broad_cell_recipe,19898493,broad_recipe_0004,existing,,,,
36927793,non-endothelial cell,endothelial cell,ETV2/ER71,TF,,,medium,review,Review summarizing ETV2/ER71 as key factor for direct reprogramming to ECs,abstract,"Furthermore, we and other groups have demonstrated its ability to directly reprogram terminally differentiated non-ECs into functional ECs, proposing ETV2/ER71 as an effective therapeutic target for vascular diseases.",2023,"ETV2/ER71, the key factor leading the paths to vascular regeneration and angiogenic reprogramming.",False,True,endothelial cell,non-endothelial cells,lineage_conversion,,,,,,,,,,,,missing: species,True,,,standalone_valid,non-endothelial cell,endothelial cell,endothelial cell,endothelial cell,False,,,,,,,,
36241724,human fibroblast,induced trophoblast stem cell,"OCT4, KLF4, SOX2, c-MYC","TF, TF, TF, TF",human,TS cell culture conditions,high,review,Non-integrative reprogramming; iTS cells established in 2-3 weeks.,abstract,"In a recent study, we showed that human fibroblasts can be reprogrammed into induced trophoblast stem (iTS) cells by transcription factor-mediated nuclear reprogramming using the Yamanaka factors OCT4, KLF4, SOX2 and c-MYC (OKSM) and a selection of TS cell culture conditions.",2022,Establishment of human induced trophoblast stem cells via reprogramming of fibroblasts.,False,False,induced trophoblast stem cell,human fibroblast,lineage_conversion,,,,,,,,,,,,,,,,,human fibroblast,induced trophoblast stem cell,fibroblast,induced trophoblast stem cell,False,,,,existing,,,,
36196449,human fibroblast cell,induced pluripotent stem cell (iPSC),"DAPT, iDOT1L","small_molecule, small_molecule",human,normoxia,medium,research,Core mRNA reprogramming factors not named; MET-related genes expressed early.,abstract,"Here, we found that the NOTCH/DOT1L inhibition markedly increased iPSC colony generation from human fibroblast cells via mRNA reprogramming, and mesenchymal to epithelial transition (MET)-related genes are significantly expressed in the early phase of the reprogramming.",2022,Efficient reprogramming of human fibroblasts using RNA reprogramming with DAPT and iDOT1L under normoxia conditions.,False,False,induced pluripotent stem cell (iPSC),human fibroblast cells,classical_reprogramming,,,,,,,,,,,,,,,,,human fibroblast cell,induced pluripotent stem cell (iPSC),fibroblast,induced pluripotent stem cell,False,,,,existing,,,,
35961310,B cell,induced pluripotent stem cell (iPSC),"C/EBPα, IL-6","TF, cytokine",mouse,,high,research,IL-6 is necessary for C/EBPα-enhanced reprogramming.,abstract,"Here, we describe that IL-6 is necessary for C/EBPα-enhanced reprogramming of B cells into iPSCs but not for B cell to macrophage transdifferentiation.",2022,The trophectoderm acts as a niche for the inner cell mass through C/EBPα-regulated IL-6 signaling.,False,False,induced pluripotent stem cell (iPSC),B cell,classical_reprogramming,,,,,,,,,,,,,,,,,B cell,induced pluripotent stem cell (iPSC),B cell,induced pluripotent stem cell,False,,,,existing,,,,
35842772,human fibroblast,induced pluripotent stem cell (iPSC),"OCT4, SOX2, KLF4, c-MYC, LMCD1","TF, TF, TF, TF, TF",human,,high,research,"LMCD1 enhances reprogramming efficiency via proliferation, metabolism, EMT.",abstract,"Here, we reported that the transcription factor, LMCD1 (LIM and cysteine rich domains 1) together with OSKM can induce reprogramming of human dermal fibroblasts into induced pluripotent stem cells (iPSCs) more efficiently than OSKM alone.",2022,"LMCD1 facilitates the induction of pluripotency via cell proliferation, metabolism, and epithelial-mesenchymal transition.",False,False,induced pluripotent stem cell (iPSC),human fibroblast,classical_reprogramming,,,,,,,,,,,,,,,,,human fibroblast,induced pluripotent stem cell (iPSC),fibroblast,induced pluripotent stem cell,False,,,,existing,,,,
35552718,somatic cell,induced pluripotent stem cell (iPSC),"OCT4, SOX2, KLF4, c-MYC","TF, TF, TF, TF",mouse,,high,research,ALKBH5 regulates reprogramming phase-specifically via m6A demethylation.,abstract,"Establishment of the pluripotency regulatory network in somatic cells by introducing four transcription factors [octamer binding transcription factor 4 (OCT4; also known as POU5F1), sex determining region Y (SRY)-box 2 (SOX2), Kruppel-like factor 4 (KLF4) and cellular myelocytomatosis (c-MYC)] provides a promising tool for cell-based therapies in regenerative medicine.",2022,ALKBH5 regulates somatic cell reprogramming in a phase-specific manner.,True,False,induced pluripotent stem cell (iPSC),somatic cell,classical_reprogramming,same_recipe;same_standardized_recipe,19898493,recipe_0001;recipe_0002,,,,,,,,,,,,,,somatic cell,induced pluripotent stem cell (iPSC),somatic cell,induced pluripotent stem cell,True,same_broad_cell_recipe,19898493,broad_recipe_0004,existing,,,,
35370273,induced pluripotent stem cell,endothelial cell,ETV2,TF,human,doxycycline-inducible system,high,research,Efficiency >90% within 5 days; transient expression yields mature phenotype.,abstract,"Here, we demonstrate that the E-twenty-six (ETS) transcription factor ETV2 alone can directly convert iPSCs into vascular endothelial cells (iPS-ETV2-ECs) with an efficiency of over 90% within 5 d.",2022,Transient ETV2 Expression Promotes the Generation of Mature Endothelial Cells from Human Pluripotent Stem Cells.,False,True,mature vascular endothelial cell,induced pluripotent stem cell (iPSC),directed_differentiation,,,,,,,,,,,,,,,,standalone_valid,induced pluripotent stem cell,endothelial cell,induced pluripotent stem cell,endothelial cell,False,,,,existing,,,,
34448118,urine cell,induced pluripotent stem cell (iPSC),"OCT4, SOX2, KLF4, c-MYC, TEAD2, TEAD4, ZIC3","TF, TF, TF, TF, TF, TF, TF",human,,high,research,"TEAD2, TEAD4, ZIC3 increase reprogramming efficiency; iPSCs differentiate to cardiomyocytes.",abstract,"In conclusion, TEAD2, TEAD4 and ZIC3 can increase the efficiency of reprogramming human urine cells into iPSCs, and provides a new stem cell sources for the clinical application and modeling of cardiovascular disease.",2021,Identification of New Transcription Factors that Can Promote Pluripotent Reprogramming.,True,False,induced pluripotent stem cell (iPSC),urine cell,classical_reprogramming,same_standardized_recipe,34448118,recipe_0003,,,,,,,,,,,,,,urine cell,induced pluripotent stem cell (iPSC),urine cell,induced pluripotent stem cell,True,same_broad_cell_recipe,34448118,broad_recipe_0006,existing,,,,
34306986,somatic cell,induced pluripotent stem cell (iPSC),"transcription factors (not specified), Dkk3","TF, knockdown",mouse,,medium,research,DKK3 identified as roadblock; knockdown improves efficiency.,abstract,"Loss of <i>Dkk3</i> enhances the generation of induced pluripotent stem cells but does not affect de novo derivation of embryonic stem cells, three-germ-layer differentiation or colony formation capacity of liver and pancreatic organoids.",2021,Functional Genomic Screening During Somatic Cell Reprogramming Identifies DKK3 as a Roadblock of Organ Regeneration.,False,False,induced pluripotent stem cell (iPSC),somatic cell,classical_reprogramming,,,,,,,,,,,,"Possible negative/ambiguous result — needs manual verification. || Resolved: evidence says Dkk3 loss ENHANCES iPSC generation; 'does not affect' refers to ESC derivation, not iPSC. | Evidence sentence may describe a failed/negative result — requires manual confirmation before removal. || Resolved: Dkk3 loss ENHANCES iPSC; ""does not affect"" refers to ESC derivation.",False,,resolved_not_negative,,somatic cell,induced pluripotent stem cell (iPSC),somatic cell,induced pluripotent stem cell,False,,,,existing,,,,
34088849,human fibroblast,induced pluripotent stem cell (iPSC),"SOX2, KLF4, dnAP-1","TF, TF, TF",human,,high,research,dnAP-1 mutant replaces OCT4 for efficient reprogramming.,abstract,"Remarkably, efficient reprogramming of human fibroblasts to induced pluripotent stem cells was achieved by transduction with vectors expressing SOX2, KLF4, and inducible dnAP-1, demonstrating that dnAP-1 can substitute for exogenous human OCT4.",2021,AP-1 is a temporally regulated dual gatekeeper of reprogramming to pluripotency.,False,False,induced pluripotent stem cell (iPSC),human fibroblast,classical_reprogramming,,,,,,,,,,,,,,,,,human fibroblast,induced pluripotent stem cell (iPSC),fibroblast,induced pluripotent stem cell,False,,,,existing,,,,
34019296,adult differentiated cell,induced pluripotent stem cell (iPSC),"OCT4, SOX2, KLF4, Myc","TF, TF, TF, TF",mouse,,medium,research,In vivo reprogramming using AAV vectors; teratoma formation as readout.,abstract,"Cellular reprogramming is a process by which adult differentiated cells lose their identity and are converted into pluripotent stem cells, known as induced pluripotent stem (iPS) cells.",2021,A Versatile In Vivo System to Study Myc in Cell Reprogramming.,False,False,induced pluripotent stem cell (iPSC),adult differentiated cells,classical_reprogramming,,,,,,,,,,,,,,,,,adult differentiated cell,induced pluripotent stem cell (iPSC),adult differentiated cell,induced pluripotent stem cell,False,,,,existing,,,,
33815934,mouse primordial germ cell,induced pluripotent stem cell (iPSC),PKCε inhibition,small_molecule,mouse,,high,research,Reprogramming via HIF1/2 upregulation and histone acetylation.,abstract,"Intracellular manipulation of Ca<sup>2+</sup> signal transduction pathway components revealed that inhibition of classical Ca<sup>2+</sup> and diacylglycerol (DAG)-dependent PKCs, or intriguingly, of only the novel DAG-dependent PKC, PKCε, were able to induce reprogramming.",2021,Inhibition of PKCε induces primordial germ cell reprogramming into pluripotency by HIF1&2 upregulation and histone acetylation.,False,False,induced pluripotent stem cell (iPSC),mouse primordial germ cell,classical_reprogramming,,,,,,,,,,,,,,,,,mouse primordial germ cell,induced pluripotent stem cell (iPSC),mouse primordial germ cell,induced pluripotent stem cell,False,,,,existing,,,,
33815934,mouse primordial germ cell,induced pluripotent stem cell (iPSC),extracellular Ca2+ spike (1-3 mM),small_molecule,mouse,,high,research,Direct reprogramming by calcium spike.,abstract,Our results also showed that a spike in extracellular [Ca<sup>2+</sup>] of 1-3 mM can directly reprogram PGC.,2021,Inhibition of PKCε induces primordial germ cell reprogramming into pluripotency by HIF1&2 upregulation and histone acetylation.,False,False,induced pluripotent stem cell (iPSC),mouse primordial germ cell,classical_reprogramming,,,,,,,,,,,,,,,,,mouse primordial germ cell,induced pluripotent stem cell (iPSC),mouse primordial germ cell,induced pluripotent stem cell,False,,,,existing,,,,
33666218,hepatocyte,insulin-producing cell (β-cell),"PDX1, NGN3, MafA","TF, TF, TF",,,high,review,Review of transdifferentiation for T1D therapy using master regulators.,abstract,"Ectopic expression of vector-delivered transcription factors (particularly the triumvirate of Pdx1, Ngn3 and MafA) induces reprogramming through broad transcriptional remodelling.",2021,Molecular mechanisms of transcription factor mediated cell reprogramming: conversion of liver to pancreas.,True,False,insulin-producing cell (β-cell),hepatocyte,lineage_conversion,same_recipe;same_standardized_recipe,28363269,recipe_0002;recipe_0005,,,,,,,,,missing: species,True,,,,hepatocyte,insulin-producing cell (β-cell),hepatocyte,insulin-producing cell,True,same_broad_cell_recipe,24312421,broad_recipe_0008,,,,,
33659292,mouse embryonic fibroblast,conventional type 1 dendritic cell,"PU.1, IRF8, BATF3","TF, TF, TF",mouse,,high,research,"Lentiviral expression, 9 days, generates functional cDC1-like cells.",abstract,"Here, we describe a protocol for the generation of induced DCs (iDCs) by lentiviral-mediated expression of the transcription factors PU.1, IRF8 and BATF3 in mouse embryonic fibroblasts.",2020,Direct Reprogramming of Mouse Embryonic Fibroblasts to Conventional Type 1 Dendritic Cells by Enforced Expression of Transcription Factors.,False,False,conventional type 1 dendritic cell,mouse embryonic fibroblast (MEF),lineage_conversion,,,,,,,,,,,,,,,,,mouse embryonic fibroblast,conventional type 1 dendritic cell,fibroblast,conventional type 1 dendritic cell,False,,,,existing,,,,
32839595,senescent cell,induced pluripotent stem cell (iPSC),Glis1,TF,mouse,,high,research,Glis1 induces epigenetic and metabolic remodelling; improves genome stability.,abstract,We find that Glis1 enables reprogramming of senescent cells into pluripotent cells and improves genome stability.,2020,Glis1 facilitates induction of pluripotency via an epigenome-metabolome-epigenome signalling cascade.,False,True,pluripotent cell,senescent cell,classical_reprogramming,,,,,,,,,,,,,,,,cocktail_member,senescent cell,induced pluripotent stem cell (iPSC),senescent cell,induced pluripotent stem cell,False,,,,deepseek_high,,,,
32587258,mouse fibroblast,induced pluripotent stem cell (iPSC),"OCT4, SOX2, KLF4, c-MYC, TFAP2C","TF, TF, TF, TF, TF",mouse,,high,research,TFAP2C facilitates reprogramming by inhibiting apoptosis and promoting MET.,abstract,Here we demonstrate Tfap2c is induced during the generation of iPSCs from mouse fibroblasts and acts as a facilitator for iPSCs formation.,2020,TFAP2C facilitates somatic cell reprogramming by inhibiting c-Myc-dependent apoptosis and promoting mesenchymal-to-epithelial transition.,False,False,induced pluripotent stem cell (iPSC),mouse fibroblast,classical_reprogramming,,,,,,,,,,,,,,,,,mouse fibroblast,induced pluripotent stem cell (iPSC),fibroblast,induced pluripotent stem cell,False,,,,existing,,,,
32500803,human fibroblast,cardiomyocyte,"GATA4, Mef2C, TBX5, HAND2, Myocardin, miR-590, sodium butyrate, ICG-001, retinoic acid","TF, TF, TF, TF, TF, miRNA, small_molecule, small_molecule, small_molecule",human,,high,research,Efficiency 25% with small molecule cocktail vs 5.7% without.,abstract,"Human iCM generation was likewise enhanced when administration of the human cardiac reprogramming factors GMT, Hand2, and Myocardin plus miR-590 was combined with sodium butyrate, ICG-001, and RA compared with GMT, Hand2, and Myocardin plus miR-590 treatment alone (25±1.3% versus 5.7±0.4%; P<0.0001).",2020,Enhanced Generation of Induced Cardiomyocytes Using a Small-Molecule Cocktail to Overcome Barriers to Cardiac Cellular Reprogramming.,False,False,cardiomyocyte,human fibroblast,lineage_conversion,,,,,,,,,,,,,,,,,human fibroblast,cardiomyocyte,fibroblast,cardiomyocyte,True,same_broad_cell_recipe,32500803,broad_recipe_0009,existing,,,,
32375045,pancreatic acinar cell,β cell,"PDX1, loss of REST function","TF, knockdown",mouse,,high,research,REST downregulation and PDX1 synergize for β cell reprogramming.,abstract,"Accordingly, a loss of REST function combined with PDX1 expression results in the synergistic activation of endocrine genes.",2020,REST Inhibits Direct Reprogramming of Pancreatic Exocrine to Endocrine Cells by Preventing PDX1-Mediated Activation of Endocrine Genes.,False,False,β cells,pancreatic acinar cell,lineage_conversion,,,,,,,,,,,,,,,,,pancreatic acinar cell,β cell,pancreatic exocrine cell,insulin-producing cell,False,,,,deepseek_high,,,,
32276654,mouse mesenchymal stromal cell,hepatocyte-like cell,"FOXA2, HNF4A","TF, TF",mouse,,high,research,"iHEPs unstable, lose phenotype over passages; in vivo safety concerns.",abstract,iHEPs were generated by forced expression of Foxa2/Hnf4a in mouse mesenchymal stromal cells,2020,Phenotype instability of hepatocyte-like cells produced by direct reprogramming of mesenchymal stromal cells.,False,False,hepatocyte-like cell,mouse mesenchymal stromal cell,lineage_conversion,,,,,,,,,,,,,,,,,mouse mesenchymal stromal cell,hepatocyte-like cell,mesenchymal stem cell,hepatocyte-like cell,True,same_broad_cell_recipe,32276654,broad_recipe_0010,existing,,,,
32065989,hiPSC-derived neural progenitor cells (hiPSC-NPCs),GABAergic neuron,"ASCL1, DLX2","TF, TF",human,,high,research,Efficient and reproducible across ten donors in two labs,abstract,"In a manner similar to our previous adaption of NGN2-glutamatergic neuronal induction from hiPSC-derived neural progenitor cells (NPCs), we now adapt an established protocol of lentiviral overexpression of ASCL1 and DLX2 to hiPSC-NPCs.",2020,ASCL1- and DLX2-induced GABAergic neurons from hiPSC-derived NPCs.,False,False,GABAergic neurons (iGANs),hiPSC-derived neural progenitor cells (hiPSC-NPCs),directed_differentiation,,,,,,,,,,,,,,,,,hiPSC-derived neural progenitor cells (hiPSC-NPCs),GABAergic neuron,neural stem/progenitor cell,GABAergic neuron,False,,,,existing,,,,
32016422,somatic cell,induced pluripotent stem cell (iPSC),SOX2,TF,"human, mouse",,medium,research,RBM deletion impairs reprogramming; Sox2 binds RNA and DNA.,abstract,"Deletion of the RBM does not affect selection of target genes but mitigates binding to pluripotency related transcripts, switches exon usage and impairs the reprogramming of somatic cells to a pluripotent state.",2020,Concurrent binding to DNA and RNA facilitates the pluripotency reprogramming activity of Sox2.,False,True,pluripotent state,somatic cell,classical_reprogramming,,,,,,,,no_member_of_larger_recipe,,single_tf_incomplete;evidence_weak,hide_single_tf,"single TF likely member of Yamanaka recipe, not standalone SOX2 recipe",False,"single TF likely member of Yamanaka recipe, not standalone SOX2 recipe",resolved_hidden_or_rejected,cocktail_member,somatic cell,induced pluripotent stem cell (iPSC),somatic cell,induced pluripotent stem cell,False,,,,existing,,,,
31921109,fibroblast,induced dendritic cell,"PU.1, IRF8, BATF3","TF, TF, TF",,,high,review,Identified minimal gene regulatory network for DC fate.,abstract,The possibility to reprogram fibroblasts into induced dendritic cells (DC) competent for antigen presentation creates a paradigm shift for understanding and modulating the immune system with direct cell reprogramming.,2019,Understanding and Modulating Immunity With Cell Reprogramming.,False,False,induced dendritic cell,fibroblast,lineage_conversion,,,,,,,,,,,,missing: species,True,,,,fibroblast,induced dendritic cell,fibroblast,induced dendritic cell,False,,,,,,,,
31884463,elderly dermal fibroblast,induced neural stem cell,"hSOX, nine small molecules","TF, small_molecule",human,,high,research,Used elderly AD and healthy donor fibroblasts; recapitulates AD hallmarks.,abstract,"Here, we report that combination of overexpressing a single transcription factor, hSOX, with nine small molecules, was able to directly reprogram elderly (55-75 years of age) sporadic AD and the age-matched healthy individual dermal fibroblasts into the induced neural stem cells (iNSCs).",2020,Modeling Sporadic Alzheimer's Disease by Efficient Direct Reprogramming of the Elderly Derived Disease Dermal Fibroblasts into Neural Stem Cells.,False,False,induced neural stem cell (iNSC),elderly dermal fibroblast,lineage_conversion,,,,,,,,,,,,,,,,,elderly dermal fibroblast,induced neural stem cell,fibroblast,neural stem/progenitor cell,False,,,,existing,,,,
31419525,somatic cell,induced pluripotent stem cell (iPSC),"OCT4, SOX17 mutant","TF, TF",,,medium,review,SOX17 mutant replaces SOX2 in reprogramming.,abstract,"In somatic cell reprogramming, structure-based protein re-engineering showed a single missense mutation in SOX17 can change the DNA dependent heterodimer formation with OCT4 and enables the replacement of SOX2 with SOX17 mutants to induce pluripotency.",2020,SOX17 in cellular reprogramming and cancer.,False,False,induced pluripotent stem cell (iPSC),somatic cell,classical_reprogramming,,,,,,,,,,,,missing: species,True,,,,somatic cell,induced pluripotent stem cell (iPSC),somatic cell,induced pluripotent stem cell,False,,,,,,,,
